STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,YEAR,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,min_precip_day,avg_wind,max_wind,total_snow
USC00105980,"MINIDOKA DAM, ID US",42.6769,-113.5021,1269.2,2015,87.54945054945055,104.0,35.0,0.66,0.0,,,0.0
USC00106080,"MONTEVIEW, ID US",44.03033,-112.56663,1467.6,2015,81.98913043478261,94.0,34.0,3.07,0.0,,,0.0
USC00106152,"MOSCOW U OF I, ID US",46.728,-116.9557,802.8,2015,85.3804347826087,102.0,33.0,0.74,0.0,,,0.0
USC00106230,"MULLAN, ID US",47.4661,-115.8113,975.7,2015,80.98809523809524,102.0,38.0,2.29,0.0,,,0.0
USC00106250,"MURPHY DESERT HOT SPRINGS, ID US",42.0264,-115.3596,1570.3,2015,84.6304347826087,98.0,35.0,2.06,0.0,,,0.0
USC00106388,"NEW MEADOWS RANGER STATION, ID US",44.9714,-116.2933,1177.1,2015,84.6413043478261,101.0,30.0,1.49,0.0,,,0.0
USC00106424,"NEZPERCE, ID US",46.2324,-116.243,990.0,2015,81.27173913043478,100.0,34.0,4.1,0.0,,,0.0
USC00106542,"OAKLEY, ID US",42.23379,-113.89237,1389.6,2015,83.45652173913044,97.0,42.0,3.04,0.0,,,0.0
USC00106877,"PAUL 1 ENE, ID US",42.6118,-113.7628,1264.9,2015,82.8695652173913,96.0,41.0,0.99,0.0,,,0.0
USC00106891,"PAYETTE, ID US",44.0763,-116.9312,655.3,2015,90.6195652173913,104.0,50.0,0.1,0.0,,,0.0
USC00107040,"PICABO, ID US",43.3086,-114.0668,1474.9,2015,84.1413043478261,100.0,33.0,0.66,0.0,,,0.0
USC00107046,"PIERCE, ID US",46.4922,-115.8006,938.8,2015,82.50574712643679,102.0,34.0,3.65,0.0,,,0.0
USC00107188,"PLUMMER 3 WSW, ID US",47.3111,-116.9545,885.4,2015,84.98913043478261,103.0,36.0,1.3,0.0,,,0.0
USC00107208,"POCATELLO 2 NE, ID US",42.8916,-112.4086,1472.8,2015,86.76086956521739,104.0,39.0,3.21,0.0,,,0.0
USC00107210,"POCATELLO CITY, ID US",42.87496,-112.44686,1359.4,2015,86.96703296703296,101.0,43.0,3.02,0.0,,,0.0
USC00107264,"PORTHILL, ID US",48.9994,-116.4991,548.3,2015,83.79710144927536,101.0,40.0,3.01,0.0,,,0.0
USC00107301,"POTLATCH 3 NNE, ID US",46.9603,-116.855,841.2,2015,84.14444444444445,103.0,35.0,0.8,0.0,,,0.0
USC00107346,"PRESTON, ID US",42.0933,-111.8826,1438.4,2015,86.71739130434783,100.0,39.0,2.72,0.0,,,0.0
USC00107357,"PRICHARD 3 ESE, ID US",47.6428,-115.9173,776.3,2015,85.22727272727273,105.0,34.0,4.0200000000000005,0.0,0.23636363636363636,6.04,0.0
USC00107386,"PRIEST RIVER EXPERIMENTAL STATION, ID US",48.3512,-116.8354,722.7,2015,86.17391304347827,103.0,33.0,1.72,0.0,,,0.0
USC00107644,"REXBURG BYU IDAHO, ID US",43.8083,-111.7892,1525.5,2015,81.70652173913044,96.0,35.0,2.05,0.0,,,0.0
USC00107673,"RICHFIELD, ID US",43.0517,-114.155,1313.4,2015,86.15217391304348,103.0,38.0,0.88,0.0,,,0.0
USC00107689,"RIGBY, ID US",43.67603,-111.91241,1480.1,2015,82.30434782608695,96.0,39.0,2.11,0.0,,,0.0
USC00108022,"SAINT ANTHONY, ID US",43.95223,-111.67852,1514.9,2015,81.58695652173913,93.0,35.0,3.77,0.0,,,0.0
USC00108062,"SAINT MARIES, ID US",47.3165,-116.5789,655.6,2015,86.32967032967034,106.0,42.0,3.07,0.0,,,0.0
USC00108080,"SALMON KSRA, ID US",45.17319,-113.88542,1204.9,2015,82.72826086956522,100.0,39.0,1.98,0.0,,,0.0
USC00108137,"SANDPOINT EXPERIMENTAL STATION, ID US",48.2943,-116.5627,648.0,2015,84.0625,102.0,40.0,1.1,0.0,,,0.0
USC00108246,"SELWAY LODGE, ID US",46.0081,-114.8442,786.4,2015,89.1413043478261,108.0,37.0,4.49,0.0,,,0.0
USC00108380,"SHOSHONE 1 WNW, ID US",42.9383,-114.4169,1204.0,2015,86.91111111111111,105.0,37.0,0.47,0.0,,,0.0
USC00108500,"SMALL 6 N, ID US",44.2965,-112.4095,1749.6,2015,79.94565217391305,95.0,35.0,4.07,0.0,,,0.0
USC00108676,"STANLEY, ID US",44.22089,-114.93459,1904.7,2015,77.1413043478261,93.0,25.0,3.27,0.0,,,0.0
USC00108818,"SUGAR CITY, ID US",43.8868,-111.7367,1501.1,2015,82.3586956521739,93.0,32.0,2.21,0.0,,,0.0
USC00108928,"SWAN FALLS PH, ID US",43.2436,-116.3784,708.7,2015,92.67469879518072,109.0,55.0,0.23,0.0,,,0.0
USC00108937,"SWAN VALLEY, ID US",43.4372,-111.2791,1645.0,2015,79.52173913043478,94.0,32.0,7.55,0.0,,,0.0
USC00109065,"TETONIA EXPERIMENT STATION, ID US",43.8563,-111.2769,1880.6,2015,75.91208791208791,89.0,32.0,3.98,0.0,,,0.0
USC00109498,"WALLACE, ID US",47.4754,-115.9313,826.0,2015,83.38271604938272,103.0,39.0,2.23,0.0,,,0.0
USC00109846,"WINCHESTER, ID US",46.2381,-116.6232,1210.7,2015,81.69444444444444,95.0,36.0,0.57,0.0,,,0.0
USC00109950,"YELLOWPINE, ID US",44.9628,-115.496,1539.2,2015,84.8695652173913,104.0,22.0,3.19,0.0,,,0.0
USR0000I3MI,"3 MILE IDAHO, ID US",44.3958,-112.1081,2019.3,2015,75.80434782608695,91.0,34.0,0.0,,,,0.0
USR0000IARC,"ARCO IDAHO, ID US",43.6231,-113.3872,1639.8,2015,83.84782608695652,99.0,36.0,0.0,,,,0.0
USR0000IBEA,"BEARSKIN CREEK IDAHO, ID US",44.385,-115.55,2042.2,2015,71.98809523809524,91.0,-69.0,0.0,,,,0.0
USR0000IBOF,"BONNERS FERRY IDAHO, ID US",48.6756,-116.3361,536.4,2015,83.73913043478261,103.0,38.0,0.0,,,,0.0
USR0000IBON,"BONANZA IDAHO, ID US",44.375,-114.5667,1953.8,2015,78.01086956521739,95.0,30.0,0.0,,,,0.0
USR0000IBRA,"BRACE FLAT IDAHO, ID US",42.3497,-116.69,1493.5,2015,86.69565217391305,103.0,41.0,0.0,,,,0.0
USR0000IBUL,"BULL SPRING IDAHO, ID US",42.08,-114.4847,1737.4,2015,82.92391304347827,98.0,33.0,0.0,,,,0.0
USR0000ICAN,"CANYON CREEK IDAHO, ID US",44.2297,-115.2469,2171.1,2015,64.6304347826087,81.0,34.0,0.0,,,,0.0
USR0000ICHL,"CHALLIS IDAHO, ID US",44.5042,-114.2228,1600.2,2015,83.44565217391305,101.0,40.0,0.0,,,,0.0
USR0000ICOP,"COPPER BASIN IDAHO, ID US",43.8,-113.8333,2383.5,2015,71.48913043478261,86.0,21.0,0.0,,,,0.0
USR0000ICRY,"CRYSTAL IDAHO, ID US",42.99,-113.16,1543.5,2015,84.21739130434783,101.0,40.0,0.0,,,,0.0
USR0000IDEA,"DEAD INDIAN RIDGE IDAHO, ID US",44.3256,-117.1678,1088.1,2015,86.27173913043478,104.0,50.0,0.0,,,,0.0
USR0000IDEN,"DENT IDAHO, ID US",46.6217,-116.2183,518.2,2015,89.98913043478261,106.0,46.0,0.0,,,,0.0
USR0000IDEP,"BULL CANYON IDAHO, ID US",42.3653,-112.7056,1950.7,2015,79.6413043478261,96.0,38.0,0.0,,,,0.0
USR0000IDER,"DEER HAVEN IDAHO, ID US",43.1744,-115.1517,1691.6,2015,80.97826086956522,99.0,47.0,0.0,,,,0.0
USR0000IDIA,"DIAMOND FLAT IDAHO, ID US",42.8667,-111.2167,2286.0,2015,74.08695652173913,88.0,33.0,0.0,,,,0.0
USR0000IEZR,"EZRA CREEK IDAHO, ID US",44.8464,-114.0264,2030.0,2015,76.83695652173913,91.0,37.0,0.0,,,,0.0
USR0000IFEN,"FENN IDAHO, ID US",46.1,-115.5347,463.3,2015,89.8804347826087,111.0,43.0,0.0,,,,0.0
USR0000IFIS,"FISH HOOK IDAHO, ID US",47.1292,-115.875,1432.6,2015,80.77173913043478,99.0,34.0,0.0,,,,0.0
USR0000IFLE,"FLECK SUMMIT IDAHO, ID US",43.6197,-114.8989,1981.2,2015,78.58695652173913,96.0,35.0,0.0,,,,0.0
USR0000IFLI,"FLINT CREEK IDAHO, ID US",42.0792,-112.1833,1585.0,2015,84.76086956521739,99.0,43.0,0.0,,,,0.0
USR0000IGAS,"GAS CAVES IDAHO, ID US",44.1678,-111.7792,1749.6,2015,79.72826086956522,94.0,33.0,0.0,,,,0.0
USR0000IGOO,"GOOSE CREEK IDAHO, ID US",42.095,-113.8958,1725.2,2015,81.6086956521739,96.0,42.0,0.0,,,,0.0
USR0000IGRA,"GRACE IDAHO, ID US",42.5372,-111.8547,1892.8,2015,79.1304347826087,93.0,40.0,0.0,,,,0.0
USR0000IGRL,"DALE BITNER IDAHO, ID US",43.0497,-111.3794,1948.0,2015,76.45652173913044,90.0,26.0,0.0,,,,0.0
USR0000IHPK,"HORTON PEAK IDAHO, ID US",43.9481,-114.7561,2560.3,2015,69.17391304347827,86.0,30.0,0.0,,,,0.0
USR0000IHSB,"HORSE BUTTE IDAHO, ID US",42.4172,-115.2278,1524.0,2015,84.25,99.0,41.0,0.0,,,,0.0
