FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size
2007,Custer,4,3.2,2.0
2007,Elmore,42,14840.800000000001,5316.0
2007,Franklin,4,17119.0,13784.0
2007,Fremont,2,1615.0,1011.0
2007,Gem,7,4613.5,3962.0
2007,Gooding,11,5717.2,3835.0
2007,Idaho,3,6237.45,5700.0
2007,Jefferson,1,58.0,58.0
2007,Jerome,13,276.7,265.0
2007,Kootenai,0,85.59,35.0
2007,Latah,1,126.49,100.0
2007,Lemhi,10,92.3,59.0
2007,Lincoln,14,46715.6,45862.0
2007,Madison,1,16.6,16.6
2007,Minidoka,11,4492.3,3003.0
2007,Nez Perce,0,155.25,155.0
2007,Oneida,9,22419.1,16312.0
2007,Owyhee,45,511931.9,367785.0
2007,Payette,6,362.0,163.0
2007,Power,11,17863.1,9473.0
2007,Shoshone,0,51.86,25.0
2007,Teton,1,4.0,4.0
2007,Twin Falls,20,3353.7,1358.0
2007,Valley,0,94.35,80.0
2007,Washington,4,11222.0,10238.0
2008,1,2,0.6,0.5
2008,13,6,562.3000000000001,559.0
2008,15,39,72.82,41.1
2008,17,27,17.49,6.65
2008,19,6,536.5,536.0
2008,21,30,7.46,1.6
2008,25,10,31.2,30.0
2008,3,28,230.73,125.0
2008,31,8,147.36,130.0
2008,33,3,1646.2,1646.0
2008,35,14,48.55,45.0
2008,37,27,10.870000000000001,3.1
2008,39,24,37886.04,37725.0
2008,43,4,5669.400000000001,5664.0
2008,45,6,6.9,6.0
2008,49,118,17685.01,5311.0
2008,5,4,454.3,454.0
2008,55,13,2.05,0.5
2008,59,16,2288.68,1584.0
2008,65,1,0.1,0.1
2008,7,4,0.95,0.5
2008,71,1,3.8,3.8
2008,77,1,127.0,127.0
2008,79,36,76.25,26.0
2008,81,1,0.1,0.1
2008,85,67,11407.599999999999,5500.0
2008,87,9,23.78,16.0
2008,Ada,13,540.5,472.0
2008,Adams,1,2.05,0.6
2008,Bannock,10,308.9,264.0
2008,Benewah,1,386.63,180.0
2008,Bingham,4,1446.9,845.7
2008,Blaine,6,17149.0,14869.0
2008,Boise,3,24.9,18.0
