FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size,YEAR,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,avg_wind,max_wind,fire_occurred,large_fire
2006,Lemhi,11,125.2,53.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Lincoln,23,43453.6,26621.8,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Madison,1,2.2,2.2,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Minidoka,13,5681.200000000001,3905.4,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Oneida,15,38623.9,31568.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Owyhee,42,80582.09999999999,61929.1,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Payette,3,275.0,151.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Power,9,7637.2,4393.4,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Twin Falls,35,1933.9,977.5,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Washington,9,67432.7,54350.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2007,Ada,114,6557.9,2695.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Adams,1,1.2999999999999998,0.7,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Bannock,16,3390.9,1634.5,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Bear Lake,2,2950.0,2945.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Benewah,1,534.67,505.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Bingham,14,13624.3,9434.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Blaine,13,35895.1,29532.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Boise,1,43.65,20.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Bonner,0,51.400000000000006,16.8,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,0,0
2007,Bonneville,4,6232.3,6224.6,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Boundary,0,43.54,20.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,0,0
2007,Butte,4,18.3,16.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Camas,2,5480.0,5280.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Canyon,9,1113.0,512.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Caribou,3,131.8,131.4,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
2007,Cassia,40,20890.8,7030.0,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,1
2007,Clark,5,64.3,29.5,2007,82.44711691788137,97.78333333333333,34.026666666666664,1.5656435643564357,6.324706060226066,20.916428571428572,1,0
